SolarJ_bins.dat:  v7.5, move 17:18 edge to 485 nm end at 700 nm
uses RRTMG-SW bins 19:27 for >778 nm  add J's >778nm to bin 19
    1   38   76   85   wavelngth bins(nm)  '(2i5,2f8.2)'
    1       177.49  178.30
    2       178.30  179.26
    3       179.26  180.38   Fast-J/Solar-J bin assignments (2nd col)
    4       180.38  181.65   for pratmo bins 1:15, see matrix below
    5       181.65  183.08
    6       183.08  184.65
    7       184.65  186.37
    8       186.37  188.24
    9       188.24  190.25
   10       190.25  192.42
   11       192.42  194.73
   12       194.73  197.20
   13       197.20  198.50
   14       198.50  200.00
   15       200.00  202.50
   16    5  202.50  204.00
   17    5  204.00  206.50
   18    6  206.50  209.50
   19    7  209.50  212.50
   20    8  212.50  215.50
   21   11  215.50  218.50
   22   11  218.50  221.50
   23   10  221.50  225.00
   24   10  225.00  229.00
   25   10  229.00  233.00
   26    9  233.00  237.50
   27    9  237.50  242.50
   28    9  242.50  248.00
   29    9  248.00  254.00
   30    9  254.00  260.00
   31    9  260.00  265.50
   32    9  265.50  270.50
   33    9  270.50  275.50
   34   10  275.50  280.00
   35   10  280.00  283.50
   36   10  283.50  286.50
   37   11  286.50  289.00
   38   11  289.00  291.00
   39   12  291.00  293.00
   40   12  293.00  295.00
   41   12  295.00  296.75
   42   12  296.75  298.25
   43   13  298.25  299.55
   44   13  299.55  300.50
   45   13  300.50  301.50
   46   13  301.50  302.50
   47   13  302.50  303.50
   48   13  303.50  304.50
   49   13  304.50  305.50
   50   13  305.50  306.50
   51   13  306.50  307.45
   52   14  307.45  308.50
   53   14  308.50  309.45
   54   14  309.45  310.50
   55   14  310.50  311.50
   56   14  311.50  312.45
   57   15  312.45  313.50
   58   15  313.50  314.50
   59   15  314.50  315.70
   60   15  315.70  317.20
   61   15  317.20  318.70
   62   15  318.70  320.30
   63   16  320.30  322.50
   64   16  322.50  326.95
   65   16  326.95  334.95
   66   16  334.95  345.00
   67   17  345.00  355.05
   68   17  355.05  365.03
   69   17  365.03  375.00
   70   17  375.00  389.95
   71   17  389.95  412.45
   72   17  412.45  437.55
   73   17  437.55  485.10
   74   18  485.10  560.10
   75   18  560.10  635.10
   76   18  635.10    778.
   77   19   778.    1242.
   78   20  1242.    1299.
   79   21  1299.    1626.
   80   22  1626.    1942.
   81   23  1942.    2151.
   82   24  2151.    2500.
   83   25  2500.    3077.
   84   26  3077.    3846.
   85   27  3846.   12000.
   86      12000.
JX wavelength bin assignments JX bin#, std bin(%)  Schumann-Runge Bands'(i2,15f5.1)'
SR:(14,0) 13   12   11 (10,0)  9    8    7    6    5    4    3    2    1  (0,0)
bin#: 1    2    3    4    5    6    7    8    9   10   11   12   13   14   15
 1 .241 .511 .398 .321 .204 .553 .488 .304 .157 .164 .148 .076
 2 .                   .153 .191 .336 .243 .368 .299 .333 .191 .098
 3 .                                  .224 .427 .287 .281 .210 .198 .102 .047
 4 .                                            .    .238 .247 .198 .142
 5 .                                            .         .276 .506 .756 .953
 6 .                                            .
 7 .                                            .
 8 .                                            .157
===end======
